date_key,date_value,year,month,day,quarter,day_of_week
20200623,2020-06-23,2020,6,23,2,火
20200624,2020-06-24,2020,6,24,2,水
20200625,2020-06-25,2020,6,25,2,木
20200626,2020-06-26,2020,6,26,2,金
20200627,2020-06-27,2020,6,27,2,土
20200628,2020-06-28,2020,6,28,2,日
20200629,2020-06-29,2020,6,29,2,月
20200630,2020-06-30,2020,6,30,2,火
20200701,2020-07-01,2020,7,1,3,水
20200702,2020-07-02,2020,7,2,3,木
20200703,2020-07-03,2020,7,3,3,金
20200704,2020-07-04,2020,7,4,3,土
20200705,2020-07-05,2020,7,5,3,日
20200706,2020-07-06,2020,7,6,3,月
20200707,2020-07-07,2020,7,7,3,火
20200708,2020-07-08,2020,7,8,3,水
20200709,2020-07-09,2020,7,9,3,木
20200710,2020-07-10,2020,7,10,3,金
20200711,2020-07-11,2020,7,11,3,土
20200712,2020-07-12,2020,7,12,3,日
20200713,2020-07-13,2020,7,13,3,月
20200714,2020-07-14,2020,7,14,3,火
20200715,2020-07-15,2020,7,15,3,水
20200716,2020-07-16,2020,7,16,3,木
20200717,2020-07-17,2020,7,17,3,金
20200718,2020-07-18,2020,7,18,3,土
20200719,2020-07-19,2020,7,19,3,日
20200720,2020-07-20,2020,7,20,3,月
20200721,2020-07-21,2020,7,21,3,火
20200722,2020-07-22,2020,7,22,3,水
20200723,2020-07-23,2020,7,23,3,木
20200724,2020-07-24,2020,7,24,3,金
20200725,2020-07-25,2020,7,25,3,土
20200726,2020-07-26,2020,7,26,3,日
20200727,2020-07-27,2020,7,27,3,月
20200728,2020-07-28,2020,7,28,3,火
20200729,2020-07-29,2020,7,29,3,水
20200730,2020-07-30,2020,7,30,3,木
20200731,2020-07-31,2020,7,31,3,金
20200801,2020-08-01,2020,8,1,3,土
20200802,2020-08-02,2020,8,2,3,日
20200803,2020-08-03,2020,8,3,3,月
20200804,2020-08-04,2020,8,4,3,火
20200805,2020-08-05,2020,8,5,3,水
20200806,2020-08-06,2020,8,6,3,木
20200807,2020-08-07,2020,8,7,3,金
20200808,2020-08-08,2020,8,8,3,土
20200809,2020-08-09,2020,8,9,3,日
20200810,2020-08-10,2020,8,10,3,月
20200811,2020-08-11,2020,8,11,3,火
20200812,2020-08-12,2020,8,12,3,水
20200813,2020-08-13,2020,8,13,3,木
20200814,2020-08-14,2020,8,14,3,金
20200815,2020-08-15,2020,8,15,3,土
20200816,2020-08-16,2020,8,16,3,日
20200817,2020-08-17,2020,8,17,3,月
20200818,2020-08-18,2020,8,18,3,火
20200819,2020-08-19,2020,8,19,3,水
20200820,2020-08-20,2020,8,20,3,木
20200821,2020-08-21,2020,8,21,3,金
20200822,2020-08-22,2020,8,22,3,土
20200823,2020-08-23,2020,8,23,3,日
20200824,2020-08-24,2020,8,24,3,月
20200825,2020-08-25,2020,8,25,3,火
20200826,2020-08-26,2020,8,26,3,水
20200827,2020-08-27,2020,8,27,3,木
20200828,2020-08-28,2020,8,28,3,金
20200829,2020-08-29,2020,8,29,3,土
20200830,2020-08-30,2020,8,30,3,日
20200831,2020-08-31,2020,8,31,3,月
20200901,2020-09-01,2020,9,1,3,火
20200902,2020-09-02,2020,9,2,3,水
20200903,2020-09-03,2020,9,3,3,木
20200904,2020-09-04,2020,9,4,3,金
20200905,2020-09-05,2020,9,5,3,土
20200906,2020-09-06,2020,9,6,3,日
20200907,2020-09-07,2020,9,7,3,月
20200908,2020-09-08,2020,9,8,3,火
20200909,2020-09-09,2020,9,9,3,水
20200910,2020-09-10,2020,9,10,3,木
20200911,2020-09-11,2020,9,11,3,金
20200912,2020-09-12,2020,9,12,3,土
20200913,2020-09-13,2020,9,13,3,日
20200914,2020-09-14,2020,9,14,3,月
20200915,2020-09-15,2020,9,15,3,火
20200916,2020-09-16,2020,9,16,3,水
20200917,2020-09-17,2020,9,17,3,木
20200918,2020-09-18,2020,9,18,3,金
20200919,2020-09-19,2020,9,19,3,土
20200920,2020-09-20,2020,9,20,3,日
20200921,2020-09-21,2020,9,21,3,月
20200922,2020-09-22,2020,9,22,3,火
20200923,2020-09-23,2020,9,23,3,水
20200924,2020-09-24,2020,9,24,3,木
20200925,2020-09-25,2020,9,25,3,金
20200926,2020-09-26,2020,9,26,3,土
20200927,2020-09-27,2020,9,27,3,日
20200928,2020-09-28,2020,9,28,3,月
20200929,2020-09-29,2020,9,29,3,火
20200930,2020-09-30,2020,9,30,3,水
20201001,2020-10-01,2020,10,1,4,木
20201002,2020-10-02,2020,10,2,4,金
20201003,2020-10-03,2020,10,3,4,土
20201004,2020-10-04,2020,10,4,4,日
20201005,2020-10-05,2020,10,5,4,月
20201006,2020-10-06,2020,10,6,4,火
20201007,2020-10-07,2020,10,7,4,水
20201008,2020-10-08,2020,10,8,4,木
20201009,2020-10-09,2020,10,9,4,金
20201010,2020-10-10,2020,10,10,4,土
20201011,2020-10-11,2020,10,11,4,日
20201012,2020-10-12,2020,10,12,4,月
20201013,2020-10-13,2020,10,13,4,火
20201014,2020-10-14,2020,10,14,4,水
20201015,2020-10-15,2020,10,15,4,木
20201016,2020-10-16,2020,10,16,4,金
20201017,2020-10-17,2020,10,17,4,土
20201018,2020-10-18,2020,10,18,4,日
20201019,2020-10-19,2020,10,19,4,月
20201020,2020-10-20,2020,10,20,4,火
20201021,2020-10-21,2020,10,21,4,水
20201022,2020-10-22,2020,10,22,4,木
20201023,2020-10-23,2020,10,23,4,金
20201024,2020-10-24,2020,10,24,4,土
20201025,2020-10-25,2020,10,25,4,日
20201026,2020-10-26,2020,10,26,4,月
20201027,2020-10-27,2020,10,27,4,火
20201028,2020-10-28,2020,10,28,4,水
20201029,2020-10-29,2020,10,29,4,木
20201030,2020-10-30,2020,10,30,4,金
20201031,2020-10-31,2020,10,31,4,土
20201101,2020-11-01,2020,11,1,4,日
20201102,2020-11-02,2020,11,2,4,月
20201103,2020-11-03,2020,11,3,4,火
20201104,2020-11-04,2020,11,4,4,水
20201105,2020-11-05,2020,11,5,4,木
20201106,2020-11-06,2020,11,6,4,金
20201107,2020-11-07,2020,11,7,4,土
20201108,2020-11-08,2020,11,8,4,日
20201109,2020-11-09,2020,11,9,4,月
20201110,2020-11-10,2020,11,10,4,火
20201111,2020-11-11,2020,11,11,4,水
20201112,2020-11-12,2020,11,12,4,木
20201113,2020-11-13,2020,11,13,4,金
20201114,2020-11-14,2020,11,14,4,土
20201115,2020-11-15,2020,11,15,4,日
20201116,2020-11-16,2020,11,16,4,月
20201117,2020-11-17,2020,11,17,4,火
20201118,2020-11-18,2020,11,18,4,水
20201119,2020-11-19,2020,11,19,4,木
20201120,2020-11-20,2020,11,20,4,金
20201121,2020-11-21,2020,11,21,4,土
20201122,2020-11-22,2020,11,22,4,日
20201123,2020-11-23,2020,11,23,4,月
20201124,2020-11-24,2020,11,24,4,火
20201125,2020-11-25,2020,11,25,4,水
20201126,2020-11-26,2020,11,26,4,木
20201127,2020-11-27,2020,11,27,4,金
20201128,2020-11-28,2020,11,28,4,土
20201129,2020-11-29,2020,11,29,4,日
